epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,val_loss
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
,5.826397146254459e-06,5.826397146254459e-06,49,,
0,,,49,10.346844673156738,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
,1.1771700356718193e-05,1.1771700356718193e-05,99,,
0,,,99,6.1877336502075195,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
,1.7717003567181926e-05,1.7717003567181926e-05,149,,
0,,,149,4.882840633392334,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
,2.366230677764566e-05,2.366230677764566e-05,199,,
0,,,199,2.4499671459198,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
,2.9607609988109397e-05,2.9607609988109397e-05,249,,
0,,,249,2.9126031398773193,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
,3.555291319857313e-05,3.555291319857313e-05,299,,
0,,,299,3.7259209156036377,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
,4.149821640903686e-05,4.149821640903686e-05,349,,
0,,,349,3.5491578578948975,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
,4.74435196195006e-05,4.74435196195006e-05,399,,
0,,,399,2.785879373550415,
,5.338882282996434e-05,5.338882282996434e-05,449,,
